judul berita,link berita,topik berita,waktu
8 Manfaat Minyak Zaitun yang Telah Terbukti Secara Ilmiah,https://www.kompas.com/sains/read/2021/04/25/180000523/8-manfaat-minyak-zaitun-yang-telah-terbukti-secara-ilmiah,SAINS,"25/04/2021, 18:00 WIB"
Joe Biden Nyatakan Peristiwa Pembunuhan Armenia pada 1915 di Akhir Massa Kerajaan Ottoman Adalah Genosida,https://www.kompas.com/global/read/2021/04/25/175411270/joe-biden-nyatakan-peristiwa-pembunuhan-armenia-pada-1915-di-akhir-massa,GLOBAL,"25/04/2021, 17:54 WIB"
"Sinopsis Blood Father, Saat Mel Gibson Bantu Putrinya dari Ancaman Pembunuhan",https://www.kompas.com/hype/read/2021/04/25/175400066/sinopsis-blood-father-saat-mel-gibson-bantu-putrinya-dari-ancaman,HYPE,"25/04/2021, 17:54 WIB"
"53 Awak KRI Nanggala-402 Gugur, Ini Bagian Kapal yang Ditemukan",https://regional.kompas.com/read/2021/04/25/175158878/53-awak-kri-nanggala-402-gugur-ini-bagian-kapal-yang-ditemukan,REGIONAL,"25/04/2021, 17:51 WIB"
"Kepala BIN Papua Gugur Ditembak KKB di Beoga, Ini Penjelasan Awal TNI ",https://regional.kompas.com/read/2021/04/25/174811978/kepala-bin-papua-gugur-ditembak-kkb-di-beoga-ini-penjelasan-awal-tni,REGIONAL,"25/04/2021, 17:48 WIB"
"Kepala BIN Papua Gugur Ditembak KKB di Beoga, Ini Penjelasan Awal TNI ",https://regional.kompas.com/read/2021/04/25/174811978/kepala-bin-papua-gugur-ditembak-kkb-di-beoga-ini-penjelasan-awal-tni,REGIONAL,"25/04/2021, 17:48 WIB"
Pengemudi Porsche yang Terobos Jalur Transjakarta Teridentifikasi berkat Kamera ETLE,https://megapolitan.kompas.com/read/2021/04/25/17442751/pengemudi-porsche-yang-terobos-jalur-transjakarta-teridentifikasi-berkat,NEWS,"25/04/2021, 17:44 WIB"
Panglima TNI: Seluruh Awak KRI Nanggala-402 Gugur,https://regional.kompas.com/read/2021/04/25/174401878/panglima-tni-seluruh-awak-kri-nanggala-402-gugur,REGIONAL,"25/04/2021, 17:44 WIB"
Kamaru Usman Usai Menang KO di UFC 261: Terima Kasih Jorge...,https://www.kompas.com/sports/read/2021/04/25/17400018/kamaru-usman-usai-menang-ko-di-ufc-261--terima-kasih-jorge-,BOLA,"25/04/2021, 17:40 WIB"
"Sinopsis Trespass, Film Pembobolan Rumah Pengusaha Kaya",https://www.kompas.com/hype/read/2021/04/25/173700266/sinopsis-trespass-film-pembobolan-rumah-pengusaha-kaya,HYPE,"25/04/2021, 17:37 WIB"
Panglima TNI: 53 Personel KRI Nanggala-402 Telah Gugur,https://nasional.kompas.com/read/2021/04/25/17365951/panglima-tni-53-personel-kri-nanggala-402-telah-gugur,NEWS,"25/04/2021, 17:36 WIB"
"Volume Transaksi Digital  BSI Tembus Rp 40,85 Triliun",https://money.kompas.com/read/2021/04/25/173000526/volume-transaksi-digital-bsi-tembus-rp-40-85-triliun,MONEY,"25/04/2021, 17:30 WIB"
"Dedi Mulyadi Prihatin Abah Yana Ditelantarkan Anak di Rumah Kosong, ""Anak Jangan Membiarkan Orangtua Hidup Menderita...""",https://regional.kompas.com/read/2021/04/25/173000578/dedi-mulyadi-prihatin-abah-yana-ditelantarkan-anak-di-rumah-kosong-anak,REGIONAL,"25/04/2021, 17:30 WIB"
"Studi Baru: Pasien Covid-19 Berisiko Alami Masalah Kesehatan, Bahkan 6 Bulan Setelah Terinfeksi",https://www.kompas.com/sains/read/2021/04/25/173000423/studi-baru--pasien-covid-19-berisiko-alami-masalah-kesehatan-bahkan-6,SAINS,"25/04/2021, 17:30 WIB"
